topic,name,slug,parent_topic,country
Q8434,Education,education,,
Q7163,Politics,politics,,
Q7174,Democracy,democracy,Q7163,
Q366,Corruption,corruption,Q7163,
Q40231,Elections,elections,Q7163,
Q7257,Ideologies,ideologies,Q7163,
Q2625603,Population,population,,
Q386191,Population growth,population-growth,Q2625603,
Q12147,Health,health,,
Q2725393,Global health,global-health,Q12147,
Q188419,Life expectancy,life-expectancy,Q12147,
Q5282120,Burden of disease,burden-of-disease,Q12147,
Q59029818,Causes of death,causes-of-death,Q12147,
Q12156,Malaria,malaria,Q12147,
Q15787,HIV,hiv,Q12147,
Q192995,Vaccination,vaccination,Q12147,
Q12078,Cancer,cancer,Q12147,
Q662860,Smoking,smoking,Q12147,
Q2647488,Alcohol consumption,alcohol-consumption,Q12147,
Q3184856,Substance abuse,substance-abuse,Q12147,
Q317309,Mental health,mental-health,Q12147,
Q10737,Suicide,suicide,Q12147,
Q11190,Accidents,accidents,Q12147,
Q11190,Medicine,medicine,Q12147,
Q9418,Psychology,psychology,,
Q2477868,Global development,global-development,,
Q7649586,Global goals,global-goals,,
Q2095,Food,food,,
Q165947,Hunger,hunger,Q2095,
Q12174,Obesity,obesity,Q2095,
Q168247,Famine,famine,Q2095,
Q24886253,Food prices,food-prices,Q2095,
Q11379,Energy,energy,,
Q3406659,Energy production,energy-production,Q11379,
Q12705,Renewable energy,renewable-energy,Q11379,
Q12748,Fossil fuels,fossil-fuels,Q11379,
Q12725,Electricity,electricity,Q11379,
Q7946,Metals and Minerals,metals-and-minerals,Q11379,
Q2249676,Environment,environment,,
Q125928,Climate change,climate-change,Q2249676,
Q58734,Pollution,pollution,Q2249676,
Q8065,Natural disasters,natural-disasters,Q2249676,
Q7202090,Plastic pollutiom,plastic-pollutiom,Q2249676,
Q729,Animals,animals,Q2249676,
Q283,Water,water,,
Q26534,Water use,water-use,Q283,
Q34104,Science and technology,science-and-technology,,
Q120208,Emerging technologies,emerging-technologies,Q34104,
Q1405450,Synthetic genomics,synthetic-genomics,Q34104,
Q176555,Quantum computing,quantum-computing,Q34104,
Q42240,Scientific research,scientific-research,Q34104,
Q253623,Patents,patents,Q34104,
Q11660,Artificial intelligence,artificial-intelligence,,
Q159810,Economy,economy,,
Q189833,Economic growth,economic-growth,Q159810,
Q5055020,Income inequality,income-inequality,Q159810,
Q10294,Poverty,poverty,,
Q12271,Architecture,architecture,,
Q305186,Job market,job-market,,
Q1727518,Media,media,,
Q29585906,Media representation,media-representation,Q1727518,
Q571,Books,books,Q1727518,
Q202833,Social Media,social-media,Q1727518,
Q75,Internet,internet,,
Q458,EU,eu,,
Q601401,Global trade,global-trade,,
Q309901,Open data,open-data,,
Q515,Cities,cities,,
Q161078,Urbanization,urbanization,Q515,
Q131327,Homelessness,homelessness,Q515,
Q294217,Public sector,public-sector,,
Q1964442,Taxation,taxation,Q294217,
Q2051567,War and peace,war-and-peace,,
Q198,War,war,Q2051567,
Q10954043,Peacekeeping,peacekeeping,Q2051567,
Q7283,Terrorism,terrorism,Q2051567,
Q8473,Military,military,Q2051567,
Q12802,Nuclear weapons,nuclear-weapons,Q2051567,
Q159385,Geopolitics,geopolitics,Q2051567,
Q41397,Genocide,genocide,Q2051567,
Q8465,Civil war,civil-war,Q2051567,
Q8458,Human rights,human-rights,,
Q177626,Migration,migration,,
Q4169,Space,space,,
Q26540,Satellites,satellites,Q4169,
Q11042,Culture,culture,,
Q29062707,Languages,languages,Q11042,
Q659974,Trust,trust,Q11042,
Q7912786,Values,values,Q11042,
Q5193377,Cultural Institutions,cultural-institutions,Q11042,
Q344,Future,future,,
Q748250,Future forecasts,future-forecasts,Q344,
Q309,History,history,,
Q420,Biology,biology,,
Q23852,The human body,the-human-body,Q420,
DNA,DNA,dna,Q420,
Q961310,Planetary boundaries,planetary-boundaries,,
Q2827815,Aid and philantropy,aid-and-philantropy,,
Q185733,Philantropy,philantropy,Q2827815,
Q5891,Philosophy,philosophy,,
Q4830453,Business,business,,
Q83267,Crime,crime,,
Q29137,Cybercrime,cybercrime,Q83267,
Q5449702,Financial crime,financial-crime,Q83267,
D2,New solutions,new-solutions,,
Q25339351,Solutions journalism,solutions-journalism,D2,
Q9174,Religion,religion,,
Q7590,Transport,transport,,
Q376880,Air travel,air-travel,Q7590,
Q870,Train,train,Q7590,
Q1420,Cars,cars,Q7590,
D1,Datastory meta,datastory-meta,,
Q330574,Easter egg,easter-egg,D1,
Q265158,Review,review,D1,
Q3962655,Opinion,opinion,D1,
Q6256,Countries,countries,,
Q889,Afghanistan,afghanistan,Q6256,afg
Q222,Albania,albania,Q6256,alb
Q262,Algeria,algeria,Q6256,dza
Q228,Andorra,andorra,Q6256,and
Q916,Angola,angola,Q6256,ago
Q781,Antigua and Barbuda,antigua-and-barbuda,Q6256,atg
Q414,Argentina,argentina,Q6256,arg
Q399,Armenia,armenia,Q6256,arm
Q408,Australia,australia,Q6256,aus
Q40,Austria,austria,Q6256,aut
Q227,Azerbaijan,azerbaijan,Q6256,aze
Q398,Bahrain,bahrain,Q6256,bhr
Q902,Bangladesh,bangladesh,Q6256,bgd
Q244,Barbados,barbados,Q6256,brb
Q184,Belarus,belarus,Q6256,blr
Q31,Belgium,belgium,Q6256,bel
Q242,Belize,belize,Q6256,blz
Q962,Benin,benin,Q6256,ben
Q917,Bhutan,bhutan,Q6256,btn
Q750,Bolivia,bolivia,Q6256,bol
Q225,Bosnia and Herzegovina,bosnia-and-herzegovina,Q6256,bih
Q963,Botswana,botswana,Q6256,bwa
Q155,Brazil,brazil,Q6256,bra
Q921,Brunei,brunei,Q6256,brn
Q219,Bulgaria,bulgaria,Q6256,bgr
Q965,Burkina Faso,burkina-faso,Q6256,bfa
Q967,Burundi,burundi,Q6256,bdi
Q424,Cambodia,cambodia,Q6256,khm
Q1009,Cameroon,cameroon,Q6256,cmr
Q16,Canada,canada,Q6256,can
Q1011,Cape Verde,cape-verde,Q6256,cpv
Q929,Central African Republic,central-african-republic,Q6256,caf
Q657,Chad,chad,Q6256,tcd
Q298,Chile,chile,Q6256,chl
Q739,Colombia,colombia,Q6256,col
Q970,Comoros,comoros,Q6256,com
Q800,Costa Rica,costa-rica,Q6256,cri
Q224,Croatia,croatia,Q6256,hrv
Q241,Cuba,cuba,Q6256,cub
Q229,Cyprus,cyprus,Q6256,cyp
Q213,Czech Republic,czech-republic,Q6256,cze
Q1008,Côte d'Ivoire,cote-d-ivoire,Q6256,civ
Q974,Democratic Republic of the Congo,democratic-republic-of-the-congo,Q6256,cod
Q35,Denmark,denmark,Q6256,dnk
Q977,Djibouti,djibouti,Q6256,dji
Q784,Dominica,dominica,Q6256,dma
Q786,Dominican Republic,dominican-republic,Q6256,dom
Q574,East Timor,east-timor,Q6256,tls
Q736,Ecuador,ecuador,Q6256,ecu
Q79,Egypt,egypt,Q6256,egy
Q792,El Salvador,el-salvador,Q6256,slv
Q983,Equatorial Guinea,equatorial-guinea,Q6256,gnq
Q986,Eritrea,eritrea,Q6256,eri
Q191,Estonia,estonia,Q6256,est
Q115,Ethiopia,ethiopia,Q6256,eth
Q702,Federated States of Micronesia,federated-states-of-micronesia,Q6256,fsm
Q712,Fiji,fiji,Q6256,fji
Q33,Finland,finland,Q6256,fin
Q142,France,france,Q6256,fra
Q1000,Gabon,gabon,Q6256,gab
Q1005,Gambia,gambia,Q6256,gmb
Q230,Georgia,georgia,Q6256,geo
Q183,Germany,germany,Q6256,deu
Q117,Ghana,ghana,Q6256,gha
Q41,Greece,greece,Q6256,grc
Q769,Grenada,grenada,Q6256,grd
Q774,Guatemala,guatemala,Q6256,gtm
Q1006,Guinea,guinea,Q6256,gin
Q1007,Guinea-Bissau,guinea-bissau,Q6256,gnb
Q734,Guyana,guyana,Q6256,guy
Q790,Haiti,haiti,Q6256,hti
Q783,Honduras,honduras,Q6256,hnd
Q28,Hungary,hungary,Q6256,hun
Q189,Iceland,iceland,Q6256,isl
Q668,India,india,Q6256,ind
Q252,Indonesia,indonesia,Q6256,idn
Q794,Iran,iran,Q6256,irn
Q796,Iraq,iraq,Q6256,irq
Q27,Ireland,ireland,Q6256,irl
Q801,Israel,israel,Q6256,isr
Q38,Italy,italy,Q6256,ita
Q766,Jamaica,jamaica,Q6256,jam
Q17,Japan,japan,Q6256,jpn
Q810,Jordan,jordan,Q6256,jor
Q232,Kazakhstan,kazakhstan,Q6256,kaz
Q114,Kenya,kenya,Q6256,ken
Q710,Kiribati,kiribati,Q6256,kir
Q817,Kuwait,kuwait,Q6256,kwt
Q813,Kyrgyzstan,kyrgyzstan,Q6256,kgz
Q819,Laos,laos,Q6256,lao
Q211,Latvia,latvia,Q6256,lva
Q822,Lebanon,lebanon,Q6256,lbn
Q1013,Lesotho,lesotho,Q6256,lso
Q1014,Liberia,liberia,Q6256,lbr
Q1016,Libya,libya,Q6256,lby
Q347,Liechtenstein,liechtenstein,Q6256,lie
Q37,Lithuania,lithuania,Q6256,ltu
Q32,Luxembourg,luxembourg,Q6256,lux
Q1019,Madagascar,madagascar,Q6256,mdg
Q1020,Malawi,malawi,Q6256,mwi
Q833,Malaysia,malaysia,Q6256,mys
Q826,Maldives,maldives,Q6256,mdv
Q912,Mali,mali,Q6256,mli
Q233,Malta,malta,Q6256,mlt
Q709,Marshall Islands,marshall-islands,Q6256,mhl
Q1025,Mauritania,mauritania,Q6256,mrt
Q1027,Mauritius,mauritius,Q6256,mus
Q96,Mexico,mexico,Q6256,mex
Q217,Moldova,moldova,Q6256,mda
Q235,Monaco,monaco,Q6256,mco
Q711,Mongolia,mongolia,Q6256,mng
Q236,Montenegro,montenegro,Q6256,mne
Q1028,Morocco,morocco,Q6256,mar
Q1029,Mozambique,mozambique,Q6256,moz
Q836,Myanmar,myanmar,Q6256,mmr
Q1030,Namibia,namibia,Q6256,nam
Q697,Nauru,nauru,Q6256,nru
Q837,Nepal,nepal,Q6256,npl
Q664,New Zealand,new-zealand,Q6256,nzl
Q811,Nicaragua,nicaragua,Q6256,nic
Q1032,Niger,niger,Q6256,ner
Q1033,Nigeria,nigeria,Q6256,nga
Q423,North Korea,north-korea,Q6256,prk
Q20,Norway,norway,Q6256,nor
Q842,Oman,oman,Q6256,omn
Q843,Pakistan,pakistan,Q6256,pak
Q695,Palau,palau,Q6256,plw
Q804,Panama,panama,Q6256,pan
Q691,Papua New Guinea,papua-new-guinea,Q6256,png
Q733,Paraguay,paraguay,Q6256,pry
Q148,People's Republic of China,people-s-republic-of-china,Q6256,chn
Q419,Peru,peru,Q6256,per
Q928,Philippines,philippines,Q6256,phl
Q36,Poland,poland,Q6256,pol
Q45,Portugal,portugal,Q6256,prt
Q846,Qatar,qatar,Q6256,qat
Q221,Republic of Macedonia,republic-of-macedonia,Q6256,mkd
Q971,Republic of the Congo,republic-of-the-congo,Q6256,cog
Q218,Romania,romania,Q6256,rou
Q159,Russia,russia,Q6256,rus
Q1037,Rwanda,rwanda,Q6256,rwa
Q763,Saint Kitts and Nevis,saint-kitts-and-nevis,Q6256,kna
Q760,Saint Lucia,saint-lucia,Q6256,lca
Q757,Saint Vincent and the Grenadines,saint-vincent-and-the-grenadines,Q6256,vct
Q683,Samoa,samoa,Q6256,wsm
Q238,San Marino,san-marino,Q6256,smr
Q1039,Sao Tomé and Príncipe,sao-tome-and-principe,Q6256,stp
Q851,Saudi Arabia,saudi-arabia,Q6256,sau
Q1041,Senegal,senegal,Q6256,sen
Q403,Serbia,serbia,Q6256,srb
Q1042,Seychelles,seychelles,Q6256,syc
Q1044,Sierra Leone,sierra-leone,Q6256,sle
Q334,Singapore,singapore,Q6256,sgp
Q214,Slovakia,slovakia,Q6256,svk
Q215,Slovenia,slovenia,Q6256,svn
Q685,Solomon Islands,solomon-islands,Q6256,slb
Q1045,Somalia,somalia,Q6256,som
Q258,South Africa,south-africa,Q6256,zaf
Q884,South Korea,south-korea,Q6256,kor
Q958,South Sudan,south-sudan,Q6256,ssd
Q29,Spain,spain,Q6256,esp
Q854,Sri Lanka,sri-lanka,Q6256,lka
Q1049,Sudan,sudan,Q6256,sdn
Q730,Suriname,suriname,Q6256,sur
Q1050,Swaziland,swaziland,Q6256,swz
Q34,Sweden,sweden,Q6256,swe
Q39,Switzerland,switzerland,Q6256,che
Q858,Syria,syria,Q6256,syr
Q865,Taiwan,taiwan,Q6256,twn
Q863,Tajikistan,tajikistan,Q6256,tjk
Q924,Tanzania,tanzania,Q6256,tza
Q869,Thailand,thailand,Q6256,tha
Q778,The Bahamas,the-bahamas,Q6256,bhs
Q945,Togo,togo,Q6256,tgo
Q678,Tonga,tonga,Q6256,ton
Q754,Trinidad and Tobago,trinidad-and-tobago,Q6256,tto
Q948,Tunisia,tunisia,Q6256,tun
Q43,Turkey,turkey,Q6256,tur
Q874,Turkmenistan,turkmenistan,Q6256,tkm
Q672,Tuvalu,tuvalu,Q6256,tuv
Q1036,Uganda,uganda,Q6256,uga
Q212,Ukraine,ukraine,Q6256,ukr
Q878,United Arab Emirates,united-arab-emirates,Q6256,are
Q145,United Kingdom,united-kingdom,Q6256,gbr
Q30,United States of America,united-states-of-america,Q6256,usa
Q77,Uruguay,uruguay,Q6256,ury
Q265,Uzbekistan,uzbekistan,Q6256,uzb
Q686,Vanuatu,vanuatu,Q6256,vut
Q237,Vatican City,vatican-city,Q6256,vat
Q717,Venezuela,venezuela,Q6256,ven
Q881,Vietnam,vietnam,Q6256,vnm
Q805,Yemen,yemen,Q6256,yem
Q953,Zambia,zambia,Q6256,zmb
Q954,Zimbabwe,zimbabwe,Q6256,zwe
Q82794,Regions,regions,,
Q48,Asia,asia,Q82794,
Q46,Europe,europe,Q82794,
Q49,North america,north-america,Q82794,
Q18,South america,south-america,Q82794,
Q15,Africa,africa,Q82794,
Q132959,Sub-saharan africa,sub-saharan-africa,Q82794,
Q538,Oceania,oceania,Q82794,
